id,date,name,category,chain,funds_lost,funds_recovered,funds_returned,scam_type,scam_parent,year
3822,2023-12-06,Elephant Money,"Token,Other",,163415.0,0.0,0.0,Flash Loan Attack,Exploit/Flash Loan Attack,2023
3823,2023-11-29,Velodrome Finance,Exchange (DEX),,42000.0,0.0,0.0,Other,Exploit/Other,2023
3824,2023-12-15,Do Right,Token,,370556.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3825,2023-10-31,UniBot,Exchange (DEX),,673317.0,0.0,0.0,Other,Exploit/Other,2023
3826,2023-12-13,Peapods Finance,Yield Aggregator,,231192.0,0.0,231192.0,Reentrancy,Exploit/Reentrancy,2023
3827,2023-12-13,Hypr Network,Bridge,,215193.0,0.0,0.0,Other,Exploit/Other,2023
3828,2023-12-16,Nft Trader,"NFT,Exchange (DEX)",,481888.0,0.0,0.0,Reentrancy,Exploit/Reentrancy,2023
3829,2023-12-17,SyncSpace,Gaming / Metaverse,,272652.0,0.0,0.0,Other,Exploit/Other,2023
3830,2023-12-21,Wallet Drain,Other,,2430419.0,0.0,0.0,Phishing,Exploit/Phishing,2023
3831,2023-12-25,Ordinal DEX,Token,,72848.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3832,2023-12-26,Pike Finance,Token,,55233.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3833,2023-12-25,Megabot,Token,,666219.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3834,2023-12-28,Link Drainer,Other,,4232690.0,0.0,0.0,Phishing,Exploit/Phishing,2023
